UPN,AISolution,YearMonth,Sessions,ActiveDays,EstimatedPrompts,DistinctDevices,Category,RiskTier
hana.wong@contoso.com,Microsoft 365 Copilot,2026-02,129,16,24,2,Productivity,Sanctioned
hana.wong@contoso.com,Microsoft 365 Copilot,2026-05,388,6,210,1,Productivity,Sanctioned
hana.wong@contoso.com,Microsoft 365 Copilot,2025-10,387,11,85,2,Productivity,Sanctioned
hana.wong@contoso.com,Microsoft 365 Copilot,2025-11,6,4,4,2,Productivity,Sanctioned
hana.wong@contoso.com,Microsoft 365 Copilot,2025-12,282,3,281,1,Productivity,Sanctioned
ivan.petrov@contoso.com,Microsoft 365 Copilot,2025-09,233,22,122,2,Productivity,Sanctioned
ivan.petrov@contoso.com,Microsoft 365 Copilot,2026-06,183,6,135,1,Productivity,Sanctioned
ivan.petrov@contoso.com,GitHub Copilot,2025-10,332,4,16,1,Development,Sanctioned
ivan.petrov@contoso.com,GitHub Copilot,2025-11,372,16,33,3,Development,Sanctioned
ivan.petrov@contoso.com,GitHub Copilot,2025-12,68,7,39,2,Development,Sanctioned
ivan.petrov@contoso.com,GitHub Copilot,2026-06,383,20,12,3,Development,Sanctioned
jade.singh@contoso.com,Microsoft 365 Copilot,2025-11,360,13,164,2,Productivity,Sanctioned
jade.singh@contoso.com,Microsoft 365 Copilot,2026-05,371,1,40,3,Productivity,Sanctioned
jade.singh@contoso.com,Microsoft 365 Copilot,2025-12,236,16,161,2,Productivity,Sanctioned
jade.singh@contoso.com,GitHub Copilot,2025-11,102,11,35,3,Development,Sanctioned
jade.singh@contoso.com,GitHub Copilot,2026-02,38,10,21,2,Development,Sanctioned
jade.singh@contoso.com,Gemini,2026-06,233,3,220,2,General AI,Unsanctioned
jade.singh@contoso.com,Gemini,2026-04,18,2,5,3,General AI,Unsanctioned
jade.singh@contoso.com,Gemini,2025-12,239,17,118,2,General AI,Unsanctioned
jade.singh@contoso.com,Gemini,2026-01,352,15,71,1,General AI,Unsanctioned
jade.singh@contoso.com,Gemini,2025-10,171,16,144,2,General AI,Unsanctioned
jade.singh@contoso.com,Perplexity,2026-04,309,12,126,2,Search AI,Unsanctioned
jade.singh@contoso.com,Perplexity,2026-06,252,18,191,1,Search AI,Unsanctioned
jade.singh@contoso.com,Perplexity,2025-11,284,16,69,1,Search AI,Unsanctioned
kyle.brown@contoso.com,Microsoft 365 Copilot,2025-11,173,14,157,1,Productivity,Sanctioned
kyle.brown@contoso.com,Microsoft 365 Copilot,2025-09,276,6,98,2,Productivity,Sanctioned
kyle.brown@contoso.com,Microsoft 365 Copilot,2026-05,222,12,95,3,Productivity,Sanctioned
kyle.brown@contoso.com,GitHub Copilot,2026-02,43,7,27,3,Development,Sanctioned
kyle.brown@contoso.com,GitHub Copilot,2026-04,345,4,39,2,Development,Sanctioned
kyle.brown@contoso.com,GitHub Copilot,2025-12,253,15,103,1,Development,Sanctioned
kyle.brown@contoso.com,GitHub Copilot,2025-09,69,3,4,1,Development,Sanctioned
kyle.brown@contoso.com,GitHub Copilot,2026-03,308,17,202,1,Development,Sanctioned
kyle.brown@contoso.com,DeepSeek,2026-03,280,19,149,2,General AI,Unsanctioned
kyle.brown@contoso.com,DeepSeek,2026-05,159,3,35,2,General AI,Unsanctioned
kyle.brown@contoso.com,DeepSeek,2026-04,188,5,15,3,General AI,Unsanctioned
kyle.brown@contoso.com,DeepSeek,2026-02,357,16,319,2,General AI,Unsanctioned
kyle.brown@contoso.com,DeepSeek,2026-01,63,13,35,1,General AI,Unsanctioned
lena.mori@contoso.com,Microsoft 365 Copilot,2026-01,143,2,133,2,Productivity,Sanctioned
lena.mori@contoso.com,Microsoft 365 Copilot,2025-11,7,2,7,3,Productivity,Sanctioned
lena.mori@contoso.com,Microsoft 365 Copilot,2026-05,180,22,102,2,Productivity,Sanctioned
lena.mori@contoso.com,Microsoft 365 Copilot,2026-03,186,10,27,3,Productivity,Sanctioned
lena.mori@contoso.com,Midjourney,2026-06,209,16,35,3,Image Generation,Unsanctioned
lena.mori@contoso.com,Midjourney,2025-10,152,16,78,3,Image Generation,Unsanctioned
lena.mori@contoso.com,Midjourney,2026-05,3,3,2,2,Image Generation,Unsanctioned
lena.mori@contoso.com,Midjourney,2025-09,254,5,225,1,Image Generation,Unsanctioned
lena.mori@contoso.com,Midjourney,2025-11,256,15,41,2,Image Generation,Unsanctioned
lena.mori@contoso.com,Perplexity,2026-01,370,15,43,2,Search AI,Unsanctioned
lena.mori@contoso.com,Perplexity,2026-04,201,3,90,2,Search AI,Unsanctioned
lena.mori@contoso.com,GitHub Copilot,2025-11,205,3,196,3,Development,Sanctioned
lena.mori@contoso.com,GitHub Copilot,2025-10,96,16,43,1,Development,Sanctioned
lena.mori@contoso.com,GitHub Copilot,2026-05,231,18,6,3,Development,Sanctioned
mason.cruz@contoso.com,Microsoft 365 Copilot,2026-01,324,17,3,1,Productivity,Sanctioned
mason.cruz@contoso.com,Microsoft 365 Copilot,2026-03,196,22,144,3,Productivity,Sanctioned
mason.cruz@contoso.com,Microsoft 365 Copilot,2026-06,398,17,393,1,Productivity,Sanctioned
mason.cruz@contoso.com,Microsoft 365 Copilot,2025-11,186,4,67,1,Productivity,Sanctioned
mason.cruz@contoso.com,Microsoft 365 Copilot,2025-10,150,12,116,3,Productivity,Sanctioned
nora.hale@contoso.com,Microsoft 365 Copilot,2026-02,370,15,249,1,Productivity,Sanctioned
nora.hale@contoso.com,Microsoft 365 Copilot,2025-11,45,17,31,1,Productivity,Sanctioned
nora.hale@contoso.com,Microsoft 365 Copilot,2026-05,339,10,125,1,Productivity,Sanctioned
nora.hale@contoso.com,Gemini,2026-06,339,6,160,1,General AI,Unsanctioned
nora.hale@contoso.com,Gemini,2026-03,193,14,56,3,General AI,Unsanctioned
nora.hale@contoso.com,Gemini,2026-01,228,11,28,3,General AI,Unsanctioned
nora.hale@contoso.com,Gemini,2026-05,348,2,43,3,General AI,Unsanctioned
nora.hale@contoso.com,Gemini,2025-10,321,18,174,3,General AI,Unsanctioned
omar.said@contoso.com,Microsoft 365 Copilot,2025-10,349,17,73,1,Productivity,Sanctioned
omar.said@contoso.com,Microsoft 365 Copilot,2026-04,243,17,78,3,Productivity,Sanctioned
omar.said@contoso.com,Claude,2026-06,394,17,212,2,General AI,Unsanctioned
omar.said@contoso.com,Claude,2025-12,228,5,100,1,General AI,Unsanctioned
omar.said@contoso.com,Claude,2026-05,32,20,3,3,General AI,Unsanctioned
priya.rao@contoso.com,Microsoft 365 Copilot,2026-03,152,7,16,3,Productivity,Sanctioned
priya.rao@contoso.com,Microsoft 365 Copilot,2025-11,34,21,13,1,Productivity,Sanctioned
priya.rao@contoso.com,Microsoft 365 Copilot,2026-06,13,5,2,3,Productivity,Sanctioned
priya.rao@contoso.com,Microsoft 365 Copilot,2026-01,234,8,123,3,Productivity,Sanctioned
priya.rao@contoso.com,Microsoft 365 Copilot,2026-05,247,17,225,1,Productivity,Sanctioned
priya.rao@contoso.com,Claude,2025-12,327,11,118,1,General AI,Unsanctioned
priya.rao@contoso.com,Claude,2026-06,310,18,152,3,General AI,Unsanctioned
priya.rao@contoso.com,Claude,2026-01,66,21,63,3,General AI,Unsanctioned
priya.rao@contoso.com,Claude,2025-09,25,16,19,3,General AI,Unsanctioned
quinn.ford@contoso.com,Microsoft 365 Copilot,2025-11,257,6,198,3,Productivity,Sanctioned
quinn.ford@contoso.com,Microsoft 365 Copilot,2025-12,322,6,89,3,Productivity,Sanctioned
quinn.ford@contoso.com,Microsoft 365 Copilot,2026-02,301,12,38,2,Productivity,Sanctioned
quinn.ford@contoso.com,Claude,2025-09,11,5,6,1,General AI,Unsanctioned
quinn.ford@contoso.com,Claude,2026-03,1,1,1,1,General AI,Unsanctioned
quinn.ford@contoso.com,Midjourney,2026-04,154,5,29,2,Image Generation,Unsanctioned
quinn.ford@contoso.com,Midjourney,2025-12,224,8,33,3,Image Generation,Unsanctioned
ravi.iyer@contoso.com,Microsoft 365 Copilot,2025-10,229,16,141,2,Productivity,Sanctioned
ravi.iyer@contoso.com,Microsoft 365 Copilot,2025-12,377,1,39,1,Productivity,Sanctioned
ravi.iyer@contoso.com,Gemini,2025-10,275,21,216,3,General AI,Unsanctioned
ravi.iyer@contoso.com,Gemini,2026-01,27,5,15,2,General AI,Unsanctioned
ravi.iyer@contoso.com,Gemini,2026-06,379,11,306,1,General AI,Unsanctioned
ravi.iyer@contoso.com,Claude,2025-11,244,20,144,2,General AI,Unsanctioned
ravi.iyer@contoso.com,Claude,2026-05,15,8,1,3,General AI,Unsanctioned
ravi.iyer@contoso.com,Claude,2026-01,341,22,218,1,General AI,Unsanctioned
ravi.iyer@contoso.com,Claude,2025-12,215,2,113,1,General AI,Unsanctioned
ravi.iyer@contoso.com,Claude,2025-09,275,2,258,3,General AI,Unsanctioned
sara.bell@contoso.com,Microsoft 365 Copilot,2026-02,398,14,238,1,Productivity,Sanctioned
sara.bell@contoso.com,Microsoft 365 Copilot,2026-04,133,3,84,3,Productivity,Sanctioned
sara.bell@contoso.com,Microsoft 365 Copilot,2025-11,91,22,87,2,Productivity,Sanctioned
sara.bell@contoso.com,Claude,2026-01,293,22,116,3,General AI,Unsanctioned
sara.bell@contoso.com,Claude,2025-10,383,9,37,1,General AI,Unsanctioned
sara.bell@contoso.com,Claude,2026-02,35,5,35,3,General AI,Unsanctioned
sara.bell@contoso.com,Claude,2026-03,119,21,44,3,General AI,Unsanctioned
sara.bell@contoso.com,Claude,2026-04,2,1,1,1,General AI,Unsanctioned
tom.frey@contoso.com,Microsoft 365 Copilot,2025-11,278,3,167,1,Productivity,Sanctioned
tom.frey@contoso.com,Microsoft 365 Copilot,2026-01,280,20,3,3,Productivity,Sanctioned
tom.frey@contoso.com,Microsoft 365 Copilot,2026-02,217,20,161,3,Productivity,Sanctioned
tom.frey@contoso.com,Microsoft 365 Copilot,2026-05,389,8,290,2,Productivity,Sanctioned
tom.frey@contoso.com,Microsoft 365 Copilot,2026-04,211,5,18,1,Productivity,Sanctioned
tom.frey@contoso.com,Gemini,2026-01,142,3,51,1,General AI,Unsanctioned
tom.frey@contoso.com,Gemini,2025-10,175,10,71,2,General AI,Unsanctioned
tom.frey@contoso.com,Claude,2026-02,2,2,2,2,General AI,Unsanctioned
tom.frey@contoso.com,Claude,2026-04,339,3,226,2,General AI,Unsanctioned
tom.frey@contoso.com,Claude,2025-09,57,18,29,3,General AI,Unsanctioned
tom.frey@contoso.com,Claude,2026-03,42,5,42,2,General AI,Unsanctioned
tom.frey@contoso.com,ChatGPT,2025-10,268,8,262,1,General AI,Conditional
tom.frey@contoso.com,ChatGPT,2025-11,329,17,301,2,General AI,Conditional
tom.frey@contoso.com,ChatGPT,2026-02,285,3,169,2,General AI,Conditional
uma.roy@contoso.com,Microsoft 365 Copilot,2025-09,324,3,296,2,Productivity,Sanctioned
uma.roy@contoso.com,Microsoft 365 Copilot,2026-04,74,12,50,2,Productivity,Sanctioned
uma.roy@contoso.com,Microsoft 365 Copilot,2026-06,142,20,62,3,Productivity,Sanctioned
uma.roy@contoso.com,Microsoft 365 Copilot,2026-02,88,9,78,3,Productivity,Sanctioned
uma.roy@contoso.com,Microsoft 365 Copilot,2025-12,237,7,71,2,Productivity,Sanctioned
vera.bose@contoso.com,Microsoft 365 Copilot,2026-01,110,18,64,3,Productivity,Sanctioned
vera.bose@contoso.com,Microsoft 365 Copilot,2025-11,92,18,90,1,Productivity,Sanctioned
vera.bose@contoso.com,Microsoft 365 Copilot,2026-03,297,19,3,2,Productivity,Sanctioned
vera.bose@contoso.com,Midjourney,2025-09,297,1,115,3,Image Generation,Unsanctioned
vera.bose@contoso.com,Midjourney,2026-06,158,14,95,3,Image Generation,Unsanctioned
vera.bose@contoso.com,Midjourney,2026-05,93,15,44,3,Image Generation,Unsanctioned
vera.bose@contoso.com,Midjourney,2026-04,261,22,149,3,Image Generation,Unsanctioned
vera.bose@contoso.com,Midjourney,2026-02,285,13,143,2,Image Generation,Unsanctioned
will.toney@contoso.com,Microsoft 365 Copilot,2025-09,210,7,120,1,Productivity,Sanctioned
will.toney@contoso.com,Microsoft 365 Copilot,2026-04,316,6,128,1,Productivity,Sanctioned
will.toney@contoso.com,Microsoft 365 Copilot,2025-10,125,9,85,2,Productivity,Sanctioned
xena.marsh@contoso.com,Microsoft 365 Copilot,2026-04,211,15,158,3,Productivity,Sanctioned
xena.marsh@contoso.com,Microsoft 365 Copilot,2026-05,146,7,28,1,Productivity,Sanctioned
xena.marsh@contoso.com,Microsoft 365 Copilot,2026-03,122,4,68,1,Productivity,Sanctioned
xena.marsh@contoso.com,Microsoft 365 Copilot,2026-02,193,12,70,2,Productivity,Sanctioned
xena.marsh@contoso.com,DeepSeek,2026-06,32,13,13,1,General AI,Unsanctioned
xena.marsh@contoso.com,DeepSeek,2026-01,364,15,83,2,General AI,Unsanctioned
xena.marsh@contoso.com,DeepSeek,2026-05,130,4,79,1,General AI,Unsanctioned
xena.marsh@contoso.com,DeepSeek,2025-12,193,13,143,1,General AI,Unsanctioned
yara.adler@contoso.com,Microsoft 365 Copilot,2026-05,340,2,325,2,Productivity,Sanctioned
yara.adler@contoso.com,Microsoft 365 Copilot,2026-02,287,18,273,3,Productivity,Sanctioned
yara.adler@contoso.com,Perplexity,2025-12,125,16,63,2,Search AI,Unsanctioned
yara.adler@contoso.com,Perplexity,2026-01,72,2,13,3,Search AI,Unsanctioned
yara.adler@contoso.com,Perplexity,2026-03,79,6,12,1,Search AI,Unsanctioned
yara.adler@contoso.com,Perplexity,2026-02,56,1,5,3,Search AI,Unsanctioned
yara.adler@contoso.com,Gemini,2026-06,122,13,16,2,General AI,Unsanctioned
yara.adler@contoso.com,Gemini,2026-05,385,10,113,1,General AI,Unsanctioned
yara.adler@contoso.com,Gemini,2026-03,38,14,30,3,General AI,Unsanctioned
yara.adler@contoso.com,Gemini,2026-01,240,12,94,2,General AI,Unsanctioned
yara.adler@contoso.com,DeepSeek,2026-06,148,7,8,1,General AI,Unsanctioned
yara.adler@contoso.com,DeepSeek,2026-04,272,3,168,3,General AI,Unsanctioned
yara.adler@contoso.com,DeepSeek,2025-12,267,13,27,3,General AI,Unsanctioned
yara.adler@contoso.com,Midjourney,2026-04,339,8,326,1,Image Generation,Unsanctioned
yara.adler@contoso.com,Midjourney,2026-05,267,4,37,1,Image Generation,Unsanctioned
zane.voss@contoso.com,Microsoft 365 Copilot,2026-01,141,12,93,1,Productivity,Sanctioned
zane.voss@contoso.com,Microsoft 365 Copilot,2025-09,389,7,314,2,Productivity,Sanctioned
zane.voss@contoso.com,Microsoft 365 Copilot,2026-06,153,17,69,2,Productivity,Sanctioned
zane.voss@contoso.com,Perplexity,2026-03,332,11,305,3,Search AI,Unsanctioned
zane.voss@contoso.com,Perplexity,2026-05,36,16,20,2,Search AI,Unsanctioned
zane.voss@contoso.com,Claude,2025-09,356,15,212,2,General AI,Unsanctioned
zane.voss@contoso.com,Claude,2026-04,267,15,76,1,General AI,Unsanctioned
zane.voss@contoso.com,Claude,2026-02,216,20,51,3,General AI,Unsanctioned
beth.quinn@contoso.com,Microsoft 365 Copilot,2026-04,149,19,148,1,Productivity,Sanctioned
beth.quinn@contoso.com,Microsoft 365 Copilot,2026-05,126,1,111,3,Productivity,Sanctioned
beth.quinn@contoso.com,Microsoft 365 Copilot,2025-10,100,15,51,2,Productivity,Sanctioned
beth.quinn@contoso.com,Microsoft 365 Copilot,2026-01,147,8,58,1,Productivity,Sanctioned
beth.quinn@contoso.com,GitHub Copilot,2025-09,104,3,60,2,Development,Sanctioned
beth.quinn@contoso.com,GitHub Copilot,2026-04,266,15,113,3,Development,Sanctioned
beth.quinn@contoso.com,GitHub Copilot,2026-06,345,2,268,1,Development,Sanctioned
cole.page@contoso.com,Microsoft 365 Copilot,2026-05,153,7,133,3,Productivity,Sanctioned
cole.page@contoso.com,Microsoft 365 Copilot,2025-11,310,2,168,1,Productivity,Sanctioned
cole.page@contoso.com,Microsoft 365 Copilot,2025-10,4,4,4,3,Productivity,Sanctioned
cole.page@contoso.com,Gemini,2026-03,320,3,66,1,General AI,Unsanctioned
cole.page@contoso.com,Gemini,2026-05,193,8,104,1,General AI,Unsanctioned
drew.shaw@contoso.com,Microsoft 365 Copilot,2026-06,252,4,247,1,Productivity,Sanctioned
drew.shaw@contoso.com,Microsoft 365 Copilot,2025-09,228,8,176,2,Productivity,Sanctioned
drew.shaw@contoso.com,Microsoft 365 Copilot,2026-02,167,9,97,1,Productivity,Sanctioned
drew.shaw@contoso.com,Microsoft 365 Copilot,2026-01,149,4,14,3,Productivity,Sanctioned
drew.shaw@contoso.com,Microsoft 365 Copilot,2025-11,109,22,104,1,Productivity,Sanctioned
ella.hart@contoso.com,Microsoft 365 Copilot,2026-01,263,14,180,3,Productivity,Sanctioned
ella.hart@contoso.com,Microsoft 365 Copilot,2025-12,20,12,8,1,Productivity,Sanctioned
ella.hart@contoso.com,Microsoft 365 Copilot,2026-05,54,14,36,1,Productivity,Sanctioned
ella.hart@contoso.com,Microsoft 365 Copilot,2026-04,184,9,37,1,Productivity,Sanctioned
ella.hart@contoso.com,Gemini,2025-12,141,19,63,3,General AI,Unsanctioned
ella.hart@contoso.com,Gemini,2025-11,158,19,104,2,General AI,Unsanctioned
ella.hart@contoso.com,Gemini,2026-06,86,8,45,2,General AI,Unsanctioned
ella.hart@contoso.com,Gemini,2025-10,58,18,11,3,General AI,Unsanctioned
ella.hart@contoso.com,GitHub Copilot,2025-10,1,1,1,1,Development,Sanctioned
ella.hart@contoso.com,GitHub Copilot,2026-03,63,16,35,3,Development,Sanctioned
ella.hart@contoso.com,GitHub Copilot,2026-05,74,13,40,3,Development,Sanctioned
ella.hart@contoso.com,GitHub Copilot,2025-11,273,18,240,2,Development,Sanctioned
ella.hart@contoso.com,GitHub Copilot,2026-06,329,21,324,2,Development,Sanctioned
finn.nash@contoso.com,Microsoft 365 Copilot,2025-09,80,12,22,1,Productivity,Sanctioned
finn.nash@contoso.com,Microsoft 365 Copilot,2025-10,349,10,221,1,Productivity,Sanctioned
finn.nash@contoso.com,Microsoft 365 Copilot,2026-04,123,1,23,2,Productivity,Sanctioned
finn.nash@contoso.com,Microsoft 365 Copilot,2025-11,356,7,123,3,Productivity,Sanctioned
finn.nash@contoso.com,Microsoft 365 Copilot,2025-12,246,14,54,3,Productivity,Sanctioned
finn.nash@contoso.com,Midjourney,2026-03,124,14,77,3,Image Generation,Unsanctioned
finn.nash@contoso.com,Midjourney,2026-02,189,13,140,2,Image Generation,Unsanctioned
finn.nash@contoso.com,Midjourney,2026-01,136,20,124,1,Image Generation,Unsanctioned
finn.nash@contoso.com,Midjourney,2026-06,17,3,8,2,Image Generation,Unsanctioned
finn.nash@contoso.com,Midjourney,2025-12,124,3,29,2,Image Generation,Unsanctioned
finn.nash@contoso.com,GitHub Copilot,2026-06,201,13,106,1,Development,Sanctioned
finn.nash@contoso.com,GitHub Copilot,2025-11,228,19,217,3,Development,Sanctioned
finn.nash@contoso.com,ChatGPT,2025-10,269,3,223,2,General AI,Conditional
finn.nash@contoso.com,ChatGPT,2026-02,377,7,334,2,General AI,Conditional
gwen.webb@contoso.com,Microsoft 365 Copilot,2026-01,110,3,73,1,Productivity,Sanctioned
gwen.webb@contoso.com,Microsoft 365 Copilot,2026-04,108,4,52,3,Productivity,Sanctioned
gwen.webb@contoso.com,Microsoft 365 Copilot,2026-03,312,1,148,3,Productivity,Sanctioned
gwen.webb@contoso.com,Microsoft 365 Copilot,2025-12,174,10,151,3,Productivity,Sanctioned
gwen.webb@contoso.com,Microsoft 365 Copilot,2025-09,160,13,156,2,Productivity,Sanctioned
hugo.cano@contoso.com,Microsoft 365 Copilot,2026-01,80,22,78,1,Productivity,Sanctioned
