userPrincipalName,displayName,department,jobTitle,city,country,companyName,accountEnabled,userType,createdDateTime,hasLicense,assignedLicenses,manager_displayName,manager_userPrincipalName
omar.said@contoso.com,Omar Said,Operations,Associate,Sydney,AU,Contoso Ltd,TRUE,Member,2022-07-28T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Faye Diaz,faye.diaz@contoso.com
priya.rao@contoso.com,Priya Rao,HR,Lead,Austin,US,Contoso Ltd,TRUE,Member,2022-09-19T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Faye Diaz,faye.diaz@contoso.com
quinn.ford@contoso.com,Quinn Ford,IT,Analyst,Toronto,CA,Contoso Ltd,TRUE,Member,2025-04-10T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
ravi.iyer@contoso.com,Ravi Iyer,Marketing,Lead,Seattle,US,Contoso Ltd,TRUE,Member,2022-03-26T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
sara.bell@contoso.com,Sara Bell,Sales,Director,Dublin,IE,Contoso Ltd,TRUE,Member,2025-03-15T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
tom.frey@contoso.com,Tom Frey,HR,Engineer,Austin,US,Contoso Ltd,TRUE,Member,2023-12-13T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
uma.roy@contoso.com,Uma Roy,Marketing,Manager,Dublin,IE,Contoso Ltd,TRUE,Member,2023-11-17T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Alex Park,alex.park@contoso.com
vera.bose@contoso.com,Vera Bose,Engineering,Analyst,Berlin,DE,Contoso Ltd,TRUE,Member,2023-06-08T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Dana Cole,dana.cole@contoso.com
will.toney@contoso.com,Will Toney,Operations,Director,London,GB,Contoso Ltd,TRUE,Member,2022-09-15T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Alex Park,alex.park@contoso.com
xena.marsh@contoso.com,Xena Marsh,HR,Analyst,New York,US,Contoso Ltd,TRUE,Member,2025-02-19T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Dana Cole,dana.cole@contoso.com
yara.adler@contoso.com,Yara Adler,Finance,Coordinator,Toronto,CA,Contoso Ltd,TRUE,Guest,2023-09-14T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
zane.voss@contoso.com,Zane Voss,HR,Engineer,Austin,US,Contoso Ltd,TRUE,Member,2024-12-18T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
beth.quinn@contoso.com,Beth Quinn,Operations,Director,Toronto,CA,Contoso Ltd,TRUE,Member,2024-10-23T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Alex Park,alex.park@contoso.com
cole.page@contoso.com,Cole Page,Sales,Analyst,Toronto,CA,Contoso Ltd,TRUE,Member,2024-12-18T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
drew.shaw@contoso.com,Drew Shaw,IT,Specialist,Dublin,IE,Contoso Ltd,TRUE,Member,2022-06-04T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
ella.hart@contoso.com,Ella Hart,IT,Associate,Austin,US,Contoso Ltd,TRUE,Member,2022-06-16T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
finn.nash@contoso.com,Finn Nash,IT,Lead,New York,US,Contoso Ltd,TRUE,Guest,2025-02-19T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
gwen.webb@contoso.com,Gwen Webb,Legal,Lead,Dublin,IE,Contoso Ltd,TRUE,Member,2025-01-19T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Faye Diaz,faye.diaz@contoso.com
hugo.cano@contoso.com,Hugo Cano,Legal,Specialist,London,GB,Contoso Ltd,TRUE,Member,2025-02-17T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Dana Cole,dana.cole@contoso.com
iris.lund@contoso.com,Iris Lund,Marketing,Manager,Seattle,US,Contoso Ltd,TRUE,Member,2023-04-15T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
jack.tate@contoso.com,Jack Tate,HR,Manager,Dublin,IE,Contoso Ltd,TRUE,Member,2024-09-01T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
kara.yost@contoso.com,Kara Yost,Operations,Director,Seattle,US,Contoso Ltd,TRUE,Member,2022-01-24T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
liam.beck@contoso.com,Liam Beck,HR,Engineer,Dublin,IE,Contoso Ltd,TRUE,Member,2025-03-10T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
mira.funk@contoso.com,Mira Funk,HR,Lead,Seattle,US,Contoso Ltd,TRUE,Member,2023-05-27T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
noah.holt@contoso.com,Noah Holt,HR,Lead,Austin,US,Contoso Ltd,TRUE,Member,2022-04-09T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Evan Reed,evan.reed@contoso.com
olga.pace@contoso.com,Olga Pace,HR,Director,London,GB,Contoso Ltd,TRUE,Member,2025-03-27T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
pete.rios@contoso.com,Pete Rios,Legal,Lead,London,GB,Contoso Ltd,TRUE,Member,2023-06-25T08:00:00Z,FALSE,SPE_E3,Cory Vance,cory.vance@contoso.com
rosa.snow@contoso.com,Rosa Snow,Engineering,Lead,London,GB,Contoso Ltd,TRUE,Member,2025-02-09T08:00:00Z,TRUE,SPE_E5,Alex Park,alex.park@contoso.com
seth.vogt@contoso.com,Seth Vogt,Finance,Engineer,Seattle,US,Contoso Ltd,TRUE,Member,2024-07-06T08:00:00Z,TRUE,SPE_E5,Evan Reed,evan.reed@contoso.com
tina.wynn@contoso.com,Tina Wynn,Sales,Analyst,Sydney,AU,Contoso Ltd,TRUE,Member,2023-12-04T08:00:00Z,TRUE,SPE_E3,Cory Vance,cory.vance@contoso.com
ueli.zane@contoso.com,Ueli Zane,Legal,Analyst,London,GB,Contoso Ltd,TRUE,Member,2023-09-25T08:00:00Z,FALSE,SPE_E5,Bria Lee,bria.lee@contoso.com
vlad.boyd@contoso.com,Vlad Boyd,Legal,Director,Sydney,AU,Contoso Ltd,FALSE,Member,2024-03-24T08:00:00Z,FALSE,SPE_E3,Faye Diaz,faye.diaz@contoso.com
wade.crum@contoso.com,Wade Crum,HR,Manager,Sydney,AU,Contoso Ltd,TRUE,Member,2024-02-16T08:00:00Z,TRUE,SPE_E3,Faye Diaz,faye.diaz@contoso.com
ximena.dent@contoso.com,Ximena Dent,Legal,Director,Austin,US,Contoso Ltd,TRUE,Member,2023-07-13T08:00:00Z,TRUE,SPE_E3,Evan Reed,evan.reed@contoso.com
yuki.egan@contoso.com,Yuki Egan,Operations,Coordinator,Seattle,US,Contoso Ltd,TRUE,Member,2024-12-16T08:00:00Z,TRUE,SPE_E3,Cory Vance,cory.vance@contoso.com
zoey.frye@contoso.com,Zoey Frye,IT,Associate,New York,US,Contoso Ltd,TRUE,Member,2022-05-19T08:00:00Z,TRUE,SPE_E5,Bria Lee,bria.lee@contoso.com
adam.gore@contoso.com,Adam Gore,HR,Analyst,Dublin,IE,Contoso Ltd,TRUE,Member,2025-01-12T08:00:00Z,FALSE,SPE_E5,Bria Lee,bria.lee@contoso.com
bella.hobbs@contoso.com,Bella Hobbs,Finance,Specialist,Sydney,AU,Contoso Ltd,TRUE,Guest,2022-10-12T08:00:00Z,TRUE,SPE_E3,Alex Park,alex.park@contoso.com
caleb.ives@contoso.com,Caleb Ives,Finance,Engineer,London,GB,Contoso Ltd,TRUE,Member,2022-03-08T08:00:00Z,TRUE,SPE_E3,Evan Reed,evan.reed@contoso.com
dora.judd@contoso.com,Dora Judd,Engineering,Manager,Seattle,US,Contoso Ltd,TRUE,Member,2024-11-12T08:00:00Z,FALSE,SPE_E5,Alex Park,alex.park@contoso.com
eli.kemp@contoso.com,Eli Kemp,Sales,Coordinator,Dublin,IE,Contoso Ltd,TRUE,Member,2024-07-04T08:00:00Z,TRUE,SPE_E5,Faye Diaz,faye.diaz@contoso.com
fern.lowe@contoso.com,Fern Lowe,Legal,Manager,Austin,US,Contoso Ltd,TRUE,Member,2023-12-15T08:00:00Z,TRUE,SPE_E5,Alex Park,alex.park@contoso.com
gus.mata@contoso.com,Gus Mata,Legal,Analyst,New York,US,Contoso Ltd,TRUE,Member,2024-10-27T08:00:00Z,TRUE,SPE_E5,Evan Reed,evan.reed@contoso.com
holly.otto@contoso.com,Holly Otto,Legal,Director,Toronto,CA,Contoso Ltd,TRUE,Member,2023-11-09T08:00:00Z,TRUE,SPE_E5,Dana Cole,dana.cole@contoso.com
ian.pratt@contoso.com,Ian Pratt,HR,Engineer,Berlin,DE,Contoso Ltd,TRUE,Member,2022-05-28T08:00:00Z,FALSE,SPE_E5,Dana Cole,dana.cole@contoso.com
jenna.sims@contoso.com,Jenna Sims,Legal,Engineer,Sydney,AU,Contoso Ltd,TRUE,Member,2023-10-29T08:00:00Z,TRUE,SPE_E3,Evan Reed,evan.reed@contoso.com
