UPN,AppName,YearMonth,ConsentCount,LastConsent,PermissionWeight,Permissions
finn.nash@contoso.com,ChatGPT,2025-10,4,2025-10-20T11:40:07Z,3,Calendars.Read;Contacts.Read;Sites.Read.All
vlad.boyd@contoso.com,Claude,2025-09,5,2025-09-10T07:56:11Z,11,Contacts.Read
kara.yost@contoso.com,Claude,2025-09,4,2025-09-01T17:32:05Z,14,Mail.Read
holly.otto@contoso.com,Gemini,2026-01,2,2026-01-11T11:11:25Z,1,offline_access;Sites.Read.All;Calendars.Read
sara.bell@contoso.com,DeepSeek,2026-05,2,2026-05-11T19:41:35Z,6,Directory.Read.All;Contacts.Read;User.Read
cole.page@contoso.com,Midjourney,2026-01,1,2026-01-25T00:00:23Z,4,offline_access;Directory.Read.All;Contacts.Read;Mail.Read
dora.judd@contoso.com,Gemini,2025-12,1,2025-12-26T06:04:37Z,15,Contacts.Read
zoey.frye@contoso.com,Gemini,2025-12,5,2025-12-11T00:36:06Z,6,Calendars.Read;Sites.Read.All;User.Read;Files.ReadWrite.All
wade.crum@contoso.com,ChatGPT,2026-02,3,2026-02-26T15:16:01Z,8,Mail.Read;Directory.Read.All;Files.ReadWrite.All
hana.wong@contoso.com,DeepSeek,2025-11,5,2025-11-08T14:32:14Z,20,Calendars.Read;Directory.Read.All;Sites.Read.All
tina.wynn@contoso.com,DeepSeek,2026-01,1,2026-01-02T18:58:15Z,6,User.Read;Calendars.Read;Directory.Read.All;Files.ReadWrite.All
zane.voss@contoso.com,ChatGPT,2026-03,4,2026-03-13T17:24:47Z,6,Sites.Read.All
dana.cole@contoso.com,Perplexity,2026-05,3,2026-05-23T08:53:02Z,2,Calendars.Read;Mail.Read
liam.beck@contoso.com,Claude,2025-11,3,2025-11-17T23:59:43Z,11,Calendars.Read;offline_access
beth.quinn@contoso.com,Midjourney,2025-11,3,2025-11-12T14:11:57Z,9,Contacts.Read
seth.vogt@contoso.com,DeepSeek,2025-10,4,2025-10-19T12:54:39Z,4,Sites.Read.All;Contacts.Read;Files.ReadWrite.All;User.Read
nora.hale@contoso.com,ChatGPT,2025-12,1,2025-12-14T08:14:52Z,20,Directory.Read.All;Contacts.Read;Sites.Read.All
uma.roy@contoso.com,DeepSeek,2025-12,3,2025-12-12T22:04:42Z,8,Calendars.Read;Contacts.Read;Files.ReadWrite.All
ximena.dent@contoso.com,Gemini,2026-04,5,2026-04-19T03:35:27Z,8,offline_access;Sites.Read.All
wade.crum@contoso.com,ChatGPT,2025-11,3,2025-11-09T01:20:11Z,12,Files.ReadWrite.All;Calendars.Read;Directory.Read.All;User.Read
wade.crum@contoso.com,DeepSeek,2026-03,1,2026-03-07T04:43:57Z,8,Mail.Read;Calendars.Read;Sites.Read.All
jack.tate@contoso.com,DeepSeek,2025-09,1,2025-09-14T08:38:39Z,5,Mail.Read;User.Read
vera.bose@contoso.com,Midjourney,2026-04,5,2026-04-20T22:39:00Z,10,Contacts.Read;Sites.Read.All;Files.ReadWrite.All
ian.pratt@contoso.com,Midjourney,2025-12,2,2025-12-21T13:23:12Z,6,offline_access;Sites.Read.All;Directory.Read.All;User.Read
pete.rios@contoso.com,Claude,2026-03,2,2026-03-14T02:47:54Z,18,Calendars.Read;offline_access;Directory.Read.All
caleb.ives@contoso.com,Gemini,2026-03,4,2026-03-17T09:30:11Z,8,Files.ReadWrite.All;User.Read
bella.hobbs@contoso.com,Gemini,2026-01,2,2026-01-15T02:23:37Z,16,Mail.Read;Contacts.Read;Sites.Read.All;offline_access
vlad.boyd@contoso.com,Midjourney,2025-09,2,2025-09-10T00:30:45Z,20,Directory.Read.All;Mail.Read;Sites.Read.All
ximena.dent@contoso.com,ChatGPT,2026-03,3,2026-03-24T09:11:50Z,18,Calendars.Read;Directory.Read.All;offline_access
priya.rao@contoso.com,ChatGPT,2026-05,2,2026-05-19T13:01:48Z,1,Calendars.Read;Mail.Read;offline_access
cory.vance@contoso.com,Midjourney,2026-02,5,2026-02-17T09:35:07Z,1,Calendars.Read;offline_access
drew.shaw@contoso.com,DeepSeek,2025-12,3,2025-12-16T16:56:16Z,13,Sites.Read.All
rosa.snow@contoso.com,DeepSeek,2026-03,3,2026-03-11T06:32:28Z,4,offline_access;Contacts.Read;Calendars.Read;User.Read
noah.holt@contoso.com,Midjourney,2025-10,2,2025-10-21T16:46:45Z,2,Directory.Read.All;offline_access;User.Read;Mail.Read
noah.holt@contoso.com,Claude,2026-02,3,2026-02-11T17:13:07Z,17,Directory.Read.All;Calendars.Read
jenna.sims@contoso.com,Midjourney,2025-11,3,2025-11-11T12:48:13Z,13,Mail.Read;Files.ReadWrite.All
vlad.boyd@contoso.com,Midjourney,2026-04,1,2026-04-23T20:43:37Z,11,Files.ReadWrite.All;User.Read
ximena.dent@contoso.com,Perplexity,2026-01,3,2026-01-25T05:18:29Z,1,offline_access;Contacts.Read;Files.ReadWrite.All;Directory.Read.All
caleb.ives@contoso.com,Midjourney,2026-04,5,2026-04-14T05:51:54Z,1,offline_access;Calendars.Read
rosa.snow@contoso.com,Midjourney,2026-03,3,2026-03-25T11:59:16Z,3,Calendars.Read;Mail.Read;Files.ReadWrite.All
finn.nash@contoso.com,Perplexity,2026-04,5,2026-04-04T21:08:45Z,17,Calendars.Read
beth.quinn@contoso.com,Claude,2025-11,2,2025-11-03T19:07:58Z,16,offline_access;Directory.Read.All;Calendars.Read
quinn.ford@contoso.com,Midjourney,2026-01,2,2026-01-08T19:54:40Z,19,Directory.Read.All;Sites.Read.All;offline_access
vlad.boyd@contoso.com,Gemini,2026-03,1,2026-03-27T18:01:43Z,6,Files.ReadWrite.All
liam.beck@contoso.com,Gemini,2026-01,2,2026-01-19T16:51:35Z,8,Files.ReadWrite.All;offline_access
hana.wong@contoso.com,Midjourney,2025-10,2,2025-10-06T15:23:33Z,2,User.Read;Contacts.Read
caleb.ives@contoso.com,Claude,2025-09,3,2025-09-08T05:03:55Z,2,Files.ReadWrite.All;Contacts.Read
hana.wong@contoso.com,Gemini,2026-06,1,2026-06-13T01:54:30Z,10,Mail.Read;User.Read
ximena.dent@contoso.com,Gemini,2026-03,4,2026-03-27T03:04:00Z,18,Files.ReadWrite.All;Mail.Read
rosa.snow@contoso.com,ChatGPT,2026-02,3,2026-02-05T15:30:11Z,10,Mail.Read;Sites.Read.All
fern.lowe@contoso.com,Claude,2026-03,4,2026-03-09T18:01:03Z,2,Sites.Read.All;Contacts.Read
gwen.webb@contoso.com,Midjourney,2026-04,4,2026-04-03T16:44:04Z,7,Sites.Read.All
seth.vogt@contoso.com,Gemini,2026-04,1,2026-04-14T07:41:45Z,9,Files.ReadWrite.All;Mail.Read
